source_dataset	source_path	row_number_0based	sample_id	page	pdf_page	row_index	source_split	quality	hanzi	candidate_headword	wupin	canonical_wupin	current_label	cleaning_flags	issue_type	ipa_from_wupin	wupin_back	error_code	why_not_ok	recommended_action
ocr_selected_all	ipa_ocr_work\dataset\shaoxing_pdf136_clean\ocr_selected_all\eval_manifest.tsv	6	pdf001_p123_0006	123	1	6	train	matched	月华	月华	yoeq1wo55	yoeq1wo55	ɦiøʔ1ɦuo55	ok	roundtrip_mismatch	ɦiøʔ1ɦuo55	yoeq1wuo55	roundtrip_mismatch	? 2 ?? wo->wuo?w- ???/????????? wu-?????????	????????????????????????????? reverse_preferences / ?????????? IPA ???????????????????
ocr_selected_all	ipa_ocr_work\dataset\shaoxing_pdf136_clean\ocr_selected_all\eval_manifest.tsv	10	pdf001_p123_0010	123	1	10	train	matched	黄昏晓	苗昏晓	waon11huen55shiau52	waon11huen55shiau52	ɦuɒŋ11huẽ55ɕiɒ52	candidate_headword_differs	roundtrip_mismatch	ɦuɒŋ11huẽ55ɕiɒ52	wuaon11huen55shiau52	roundtrip_mismatch	? 1 ?? waon->wuaon?w- ???/????????? wu-?????????	????????????????????????????? reverse_preferences / ?????????? IPA ???????????????????
ocr_selected_all	ipa_ocr_work\dataset\shaoxing_pdf136_clean\ocr_selected_all\eval_manifest.tsv	27	pdf002_p124_0001	124	2	1	train	matched	鬼子头风	鬼了头风	ciu335tseq5deu55fon52	ciu335tseq5deu55fon52	tɕy335tseʔ5dɤ55foŋ52	candidate_headword_differs	roundtrip_mismatch	tɕy335tseʔ5dɤ55foŋ52	tciu335tseq5deu55fon52	roundtrip_mismatch	? 1 ?? ciu->tciu?IPA ???? c ?????? tc/tci/tcia??????????	????????????????????????????? reverse_preferences / ?????????? IPA ???????????????????
ocr_selected_all	ipa_ocr_work\dataset\shaoxing_pdf136_clean\ocr_selected_all\eval_manifest.tsv	36	pdf002_p124_0010	124	2	10	train	low_match	鱼厣云	鱼肪互	yu11ieen55yoen52	yu11ieen55yoen52	ɦy11iẽ55ɦiø̃52	non_matched_quality:low_match;candidate_headword_differs	forward_error	ɦy11<ieen55>ɦiø̃52		unknown_final:ieen:ieen	???? ieen ??? ieen ??????? finals ???????? IPA???????????????????????????	???????????? wupin_ipa_map.json???????????
ocr_selected_all	ipa_ocr_work\dataset\shaoxing_pdf136_clean\ocr_selected_all\eval_manifest.tsv	56	pdf003_p125_0004	125	3	4	train	weak_match	雨脚	向脚	yu115ciaq54	yu115ciaq54	ɦy115tɕiaʔ54	non_matched_quality:weak_match;candidate_headword_differs	roundtrip_mismatch	ɦy115tɕiaʔ54	yu115tciaq54	roundtrip_mismatch	? 2 ?? ciaq->tciaq?IPA ???? c ?????? tc/tci/tcia??????????	????????????????????????????? reverse_preferences / ?????????? IPA ???????????????????
ocr_selected_all	ipa_ocr_work\dataset\shaoxing_pdf136_clean\ocr_selected_all\eval_manifest.tsv	71	pdf003_p125_0019	125	3	19	train	matched	皎致晴天	皎致眙天	ciau33tsy55jin55thien52	ciau33tsy55jin55thien52	tɕiɒ33tsɿ55dʑiŋ55tʰiẽ52	candidate_headword_differs	roundtrip_mismatch	tɕiɒ33tsɿ55dʑiŋ55tʰiẽ52	tciau33tsy55jin55thien52	roundtrip_mismatch	? 1 ?? ciau->tciau?IPA ???? c ?????? tc/tci/tcia??????????	????????????????????????????? reverse_preferences / ?????????? IPA ???????????????????
ocr_selected_all	ipa_ocr_work\dataset\shaoxing_pdf136_clean\ocr_selected_all\eval_manifest.tsv	76	pdf003_p125_0024	125	3	24	train	matched	养花天	养花天	yan115huo55thien52	yan115huo55thien52	ɦiaŋ115huo55tʰiẽ52	ok	roundtrip_mismatch	ɦiaŋ115huo55tʰiẽ52	yian115huo55thien52	roundtrip_mismatch	? 1 ?? yan->yian?y- ???/????????? yi-?????????	????????????????????????????? reverse_preferences / ?????????? IPA ???????????????????
ocr_selected_all	ipa_ocr_work\dataset\shaoxing_pdf136_clean\ocr_selected_all\eval_manifest.tsv	77	pdf003_p125_0025	125	3	25	train	matched	黄梅天	黄梅夭	waon11me55thien52	waon11me55thien52	ɦuɒŋ11mᴇ55tʰiẽ52	candidate_headword_differs	roundtrip_mismatch	ɦuɒŋ11mᴇ55tʰiẽ52	wuaon11me55thien52	roundtrip_mismatch	? 1 ?? waon->wuaon?w- ???/????????? wu-?????????	????????????????????????????? reverse_preferences / ?????????? IPA ???????????????????
ocr_selected_all	ipa_ocr_work\dataset\shaoxing_pdf136_clean\ocr_selected_all\eval_manifest.tsv	80	pdf004_p126_0000	126	4	0	train	low_match	黄沙天	如少天	waon11so55thien52	waon11so55thien52	ɦuɒŋ11so55tʰiẽ52	non_matched_quality:low_match;candidate_headword_differs	roundtrip_mismatch	ɦuɒŋ11so55tʰiẽ52	wuaon11so55thien52	roundtrip_mismatch	? 1 ?? waon->wuaon?w- ???/????????? wu-?????????	????????????????????????????? reverse_preferences / ?????????? IPA ???????????????????
ocr_selected_all	ipa_ocr_work\dataset\shaoxing_pdf136_clean\ocr_selected_all\eval_manifest.tsv	91	pdf004_p126_0011	126	4	11	train	matched	河头水脚	河头水	gho11deu55sy55cian52	gho11deu55sy55cian52	ɦo11dɤ55sɿ55tɕiaŋ52	candidate_headword_differs	roundtrip_mismatch	ɦo11dɤ55sɿ55tɕiaŋ52	gho11deu55sy55tcian52	roundtrip_mismatch	? 4 ?? cian->tcian?IPA ???? c ?????? tc/tci/tcia??????????	????????????????????????????? reverse_preferences / ?????????? IPA ???????????????????
ocr_selected_all	ipa_ocr_work\dataset\shaoxing_pdf136_clean\ocr_selected_all\eval_manifest.tsv	98	pdf004_p126_0018	126	4	18	train	low_match	田脚	皿儿	dien11ciaq5	dien11ciaq5	diẽ11tɕiaʔ5	non_matched_quality:low_match;candidate_headword_differs	roundtrip_mismatch	diẽ11tɕiaʔ5	dien11tciaq5	roundtrip_mismatch	? 2 ?? ciaq->tciaq?IPA ???? c ?????? tc/tci/tcia??????????	????????????????????????????? reverse_preferences / ?????????? IPA ???????????????????
ocr_selected_all	ipa_ocr_work\dataset\shaoxing_pdf136_clean\ocr_selected_all\eval_manifest.tsv	124	pdf005_p127_0021	127	5	21	train	weak_match	山脊	山	saen33ciq5	saen33ciq5	sæ̃33tɕieʔ5	non_matched_quality:weak_match;candidate_headword_differs	roundtrip_mismatch	sæ̃33tɕieʔ5	saen33tciq5	roundtrip_mismatch	? 2 ?? ciq->tciq?IPA ???? c ?????? tc/tci/tcia??????????	????????????????????????????? reverse_preferences / ?????????? IPA ???????????????????
ocr_selected_all	ipa_ocr_work\dataset\shaoxing_pdf136_clean\ocr_selected_all\eval_manifest.tsv	127	pdf005_p127_0024	127	5	24	train	matched	山脚	山脚	saen33ciaq5	saen33ciaq5	sæ̃33tɕiaʔ5	ok	roundtrip_mismatch	sæ̃33tɕiaʔ5	saen33tciaq5	roundtrip_mismatch	? 2 ?? ciaq->tciaq?IPA ???? c ?????? tc/tci/tcia??????????	????????????????????????????? reverse_preferences / ?????????? IPA ???????????????????
ocr_selected_all	ipa_ocr_work\dataset\shaoxing_pdf136_clean\ocr_selected_all\eval_manifest.tsv	155	pdf006_p128_0023	128	6	23	train	low_match	㶇	汉沿	wan11	wan11	ɦuaŋ11	non_matched_quality:low_match;candidate_headword_differs	roundtrip_mismatch	ɦuaŋ11	wuan11	roundtrip_mismatch	? 1 ?? wan->wuan?w- ???/????????? wu-?????????	????????????????????????????? reverse_preferences / ?????????? IPA ???????????????????
ocr_selected_all	ipa_ocr_work\dataset\shaoxing_pdf136_clean\ocr_selected_all\eval_manifest.tsv	168	pdf007_p129_0007	129	7	7	train	weak_match	河沿	诃沿	gho11yen52	gho11yen52	ɦɒ11ɦiẽ52	bracket_context_review;non_matched_quality:weak_match;candidate_headword_differs	forward_error	ɦo11<yen52>		unknown_final:en:yen	???? yen ??? en ??????? finals ???????? IPA???????????????????????????	???????????? wupin_ipa_map.json???????????
ocr_selected_all	ipa_ocr_work\dataset\shaoxing_pdf136_clean\ocr_selected_all\eval_manifest.tsv	174	pdf007_p129_0013	129	7	13	test	matched	桥脚	桥脚	jiau11ciaq5	jiau11ciaq5	dʑiɒ11tɕiaʔ5	ok	roundtrip_mismatch	dʑiɒ11tɕiaʔ5	jiau11tciaq5	roundtrip_mismatch	? 2 ?? ciaq->tciaq?IPA ???? c ?????? tc/tci/tcia??????????	????????????????????????????? reverse_preferences / ?????????? IPA ???????????????????
ocr_selected_all	ipa_ocr_work\dataset\shaoxing_pdf136_clean\ocr_selected_all\eval_manifest.tsv	178	pdf007_p129_0017	129	7	17	test	matched	箭头	箭头	cien33deu33	cien33deu33	tɕiẽ33dɤ33	ok	roundtrip_mismatch	tɕiẽ33dɤ33	tcien33deu33	roundtrip_mismatch	? 1 ?? cien->tcien?IPA ???? c ?????? tc/tci/tcia??????????	????????????????????????????? reverse_preferences / ?????????? IPA ???????????????????
ocr_selected_all	ipa_ocr_work\dataset\shaoxing_pdf136_clean\ocr_selected_all\eval_manifest.tsv	191	pdf008_p130_0003	130	8	3	train	low_match	野地	朋	ya115di52	ya115di52	ɦia115di52	non_matched_quality:low_match;candidate_headword_differs	roundtrip_mismatch	ɦia115di52	yia115di52	roundtrip_mismatch	? 1 ?? ya->yia?y- ???/????????? yi-?????????	????????????????????????????? reverse_preferences / ?????????? IPA ???????????????????
ocr_selected_all	ipa_ocr_work\dataset\shaoxing_pdf136_clean\ocr_selected_all\eval_manifest.tsv	192	pdf008_p130_0004	130	8	4	train	weak_match	景致	以致	cin335tsy52	cin335tsy52	tɕiŋ335tsɿ52	non_matched_quality:weak_match;candidate_headword_differs	roundtrip_mismatch	tɕiŋ335tsɿ52	tcin335tsy52	roundtrip_mismatch	? 1 ?? cin->tcin?IPA ???? c ?????? tc/tci/tcia??????????	????????????????????????????? reverse_preferences / ?????????? IPA ???????????????????
ocr_selected_all	ipa_ocr_work\dataset\shaoxing_pdf136_clean\ocr_selected_all\eval_manifest.tsv	197	pdf008_p130_0009	130	8	9	train	weak_match	鉴湖	鉴曲	cien33wu33	cien33wu33	tɕiẽ33ɦu33	non_matched_quality:weak_match;candidate_headword_differs	roundtrip_mismatch	tɕiẽ33ɦu33	tcien33wu33	roundtrip_mismatch	? 1 ?? cien->tcien?IPA ???? c ?????? tc/tci/tcia??????????	????????????????????????????? reverse_preferences / ?????????? IPA ???????????????????
ocr_selected_all	ipa_ocr_work\dataset\shaoxing_pdf136_clean\ocr_selected_all\eval_manifest.tsv	198	pdf008_p130_0010	130	8	10	train	weak_match	金子	金千	cin33tsy55	cin33tsy55	tɕiŋ33tsɿ55	non_matched_quality:weak_match;candidate_headword_differs	roundtrip_mismatch	tɕiŋ33tsɿ55	tcin33tsy55	roundtrip_mismatch	? 1 ?? cin->tcin?IPA ???? c ?????? tc/tci/tcia??????????	????????????????????????????? reverse_preferences / ?????????? IPA ???????????????????
ocr_selected_all	ipa_ocr_work\dataset\shaoxing_pdf136_clean\ocr_selected_all\eval_manifest.tsv	199	pdf008_p130_0011	130	8	11	train	weak_match	白金	金	baq1cin52	baq1cin52	baʔ1tɕiŋ52	non_matched_quality:weak_match;candidate_headword_differs	roundtrip_mismatch	baʔ1tɕiŋ52	baq1tcin52	roundtrip_mismatch	? 2 ?? cin->tcin?IPA ???? c ?????? tc/tci/tcia??????????	????????????????????????????? reverse_preferences / ?????????? IPA ???????????????????
ocr_selected_all	ipa_ocr_work\dataset\shaoxing_pdf136_clean\ocr_selected_all\eval_manifest.tsv	212	pdf009_p131_0004	131	9	4	train	weak_match	水晶	水品	sy335cin52	sy335cin52	sɿ335tɕiŋ52	non_matched_quality:weak_match;candidate_headword_differs	roundtrip_mismatch	sɿ335tɕiŋ52	sy335tcin52	roundtrip_mismatch	? 2 ?? cin->tcin?IPA ???? c ?????? tc/tci/tcia??????????	????????????????????????????? reverse_preferences / ?????????? IPA ???????????????????
ocr_selected_all	ipa_ocr_work\dataset\shaoxing_pdf136_clean\ocr_selected_all\eval_manifest.tsv	216	pdf009_p131_0008	131	9	8	train	matched	珍珠	珍珠	tseen33ciu52	tseen33ciu52	tsẽ33tɕy52	ok	roundtrip_mismatch	tsẽ33tɕy52	tseen33tciu52	roundtrip_mismatch	? 2 ?? ciu->tciu?IPA ???? c ?????? tc/tci/tcia??????????	????????????????????????????? reverse_preferences / ?????????? IPA ???????????????????
ocr_selected_all	ipa_ocr_work\dataset\shaoxing_pdf136_clean\ocr_selected_all\eval_manifest.tsv	217	pdf009_p131_0009	131	9	9	train	weak_match	硫黄	硫员	lieu11waon52	lieu11waon52	liɤ11ɦuɒŋ52	non_matched_quality:weak_match;candidate_headword_differs	roundtrip_mismatch	liɤ11ɦuɒŋ52	lieu11wuaon52	roundtrip_mismatch	? 2 ?? waon->wuaon?w- ???/????????? wu-?????????	????????????????????????????? reverse_preferences / ?????????? IPA ???????????????????
ocr_selected_all	ipa_ocr_work\dataset\shaoxing_pdf136_clean\ocr_selected_all\eval_manifest.tsv	275	pdf011_p133_0013	133	11	13	train	matched	迹足	迹足	ciq3tsoq5	ciq3tsoq5	tɕieʔ3tsoʔ5	ok	roundtrip_mismatch	tɕieʔ3tsoʔ5	tciq3tsoq5	roundtrip_mismatch	? 1 ?? ciq->tciq?IPA ???? c ?????? tc/tci/tcia??????????	????????????????????????????? reverse_preferences / ?????????? IPA ???????????????????
ocr_selected_all	ipa_ocr_work\dataset\shaoxing_pdf136_clean\ocr_selected_all\eval_manifest.tsv	285	pdf011_p133_0023	133	11	23	train	low_match	油蒿气	汕荔气	yeu11hau55chi52	yeu11hau55chi52	ɦiɤ11hɒ55tɕʰi52	non_matched_quality:low_match;candidate_headword_differs	roundtrip_mismatch	ɦiɤ11hɒ55tɕʰi52	yieu11hau55chi52	roundtrip_mismatch	? 1 ?? yeu->yieu?y- ???/????????? yi-?????????	????????????????????????????? reverse_preferences / ?????????? IPA ???????????????????
ocr_selected_all	ipa_ocr_work\dataset\shaoxing_pdf136_clean\ocr_selected_all\eval_manifest.tsv	288	pdf011_p133_0026	133	11	26	train	weak_match	恶药头气	悲约头气	oq3yaq5deu55chi55	oq3yaq5deu55chi55	oʔ3ɦiaʔ5dɤ55tɕʰi55	non_matched_quality:weak_match;candidate_headword_differs	roundtrip_mismatch	oʔ3ɦiaʔ5dɤ55tɕʰi55	oq3yiaq5deu55chi55	roundtrip_mismatch	? 2 ?? yaq->yiaq?y- ???/????????? yi-?????????	????????????????????????????? reverse_preferences / ?????????? IPA ???????????????????
