source_dataset	source_path	row_number_0based	sample_id	page	pdf_page	row_index	source_split	quality	hanzi	candidate_headword	wupin	canonical_wupin	current_label	ipa_conversion_status	cleaning_flags	issue_type	ipa_from_wupin	wupin_back	errors
trocr_direct_span_all_clean_conf70_nobracket	ipa_ocr_work\dataset\shaoxing_pdf136_clean\trocr_direct_span_all_clean_conf70_nobracket\eval_manifest.tsv	6	pdf007_p129_0013	129	7	13	test	matched	桥脚	桥脚	jiau11ciaq5	jiau11ciaq5	dʑiɒ11tɕiaʔ5	ok	ok	roundtrip_mismatch	dʑiɒ11tɕiaʔ5	jiau11tciaq5	
trocr_direct_span_all_clean_conf70_nobracket	ipa_ocr_work\dataset\shaoxing_pdf136_clean\trocr_direct_span_all_clean_conf70_nobracket\eval_manifest.tsv	13	pdf017_p139_0001	139	17	1	test	matched	冷天家	冷天家	lan115thien55cia52	lan115thien55cia52	laŋ115tʰiẽ55tɕia52	ok	ok	roundtrip_mismatch	laŋ115tʰiẽ55tɕia52	lan115thien55tcia52	
trocr_direct_span_all_clean_conf70_nobracket	ipa_ocr_work\dataset\shaoxing_pdf136_clean\trocr_direct_span_all_clean_conf70_nobracket\eval_manifest.tsv	24	pdf017_p139_0019	139	17	19	test	matched	九月	九月	cieu335gnioeq54	cieu335gnioeq54	tɕiɤ335ȵiøʔ54	ok	ok	roundtrip_mismatch	tɕiɤ335ȵiøʔ54	tcieu335gnioeq54	
trocr_direct_span_all_clean_conf70_nobracket	ipa_ocr_work\dataset\shaoxing_pdf136_clean\trocr_direct_span_all_clean_conf70_nobracket\eval_manifest.tsv	30	pdf027_p149_0004	149	27	4	test	matched	四脚蛇	佣脚蛇	sy33ciaq3zo33	sy33ciaq3zo33	sɿ33tɕiaʔ3zo33	ok	candidate_headword_differs	roundtrip_mismatch	sɿ33tɕiaʔ3zo33	sy33tciaq3zo33	
trocr_direct_span_all_clean_conf70_nobracket	ipa_ocr_work\dataset\shaoxing_pdf136_clean\trocr_direct_span_all_clean_conf70_nobracket\eval_manifest.tsv	32	pdf027_p149_0013	149	27	13	test	matched	雄牛	雄牛	yon11gnieu52	yon11gnieu52	ɦioŋ11ȵiɤ52	ok	ok	roundtrip_mismatch	ɦioŋ11ȵiɤ52	yion11gnieu52	
trocr_direct_span_all_clean_conf70_nobracket	ipa_ocr_work\dataset\shaoxing_pdf136_clean\trocr_direct_span_all_clean_conf70_nobracket\eval_manifest.tsv	43	pdf027_p149_0028	149	27	28	test	matched	肉肉	肉肉	gnio11gnio11	gnio11gnio11	ȵiɒ11ȵiɒ11	ok	ok	roundtrip_mismatch	ȵiɒ11ȵiɒ11	gniau11gniau11	
trocr_direct_span_all_clean_conf70_nobracket	ipa_ocr_work\dataset\shaoxing_pdf136_clean\trocr_direct_span_all_clean_conf70_nobracket\eval_manifest.tsv	47	pdf037_p159_0008	159	37	8	test	matched	洋芋奶	洋节奶	yan11gniu55na52	yan11gniu55na52	ɦiaŋ11ȵy55na52	ok	candidate_headword_differs	roundtrip_mismatch	ɦiaŋ11ȵy55na52	yian11gniu55na52	
trocr_direct_span_all_clean_conf70_nobracket	ipa_ocr_work\dataset\shaoxing_pdf136_clean\trocr_direct_span_all_clean_conf70_nobracket\eval_manifest.tsv	62	pdf047_p169_0007	169	47	7	test	matched	豆油皮	旦油皮	deu11yeu11bi11	deu11yeu11bi11	dɤ11ɦiɤ11bi11	ok	candidate_headword_differs	roundtrip_mismatch	dɤ11ɦiɤ11bi11	deu11yieu11bi11	
trocr_direct_span_all_clean_conf70_nobracket	ipa_ocr_work\dataset\shaoxing_pdf136_clean\trocr_direct_span_all_clean_conf70_nobracket\eval_manifest.tsv	64	pdf047_p169_0009	169	47	9	test	matched	面筋	面筋	mien115cin52	mien115cin52	miẽ115tɕiŋ52	ok	ok	roundtrip_mismatch	miẽ115tɕiŋ52	mien115tcin52	
trocr_direct_span_all_clean_conf70_nobracket	ipa_ocr_work\dataset\shaoxing_pdf136_clean\trocr_direct_span_all_clean_conf70_nobracket\eval_manifest.tsv	65	pdf047_p169_0010	169	47	10	test	matched	油面筋	汕面筋	yeu11mien55cin52	yeu11mien55cin52	ɦiɤ11miẽ55tɕiŋ52	ok	candidate_headword_differs	roundtrip_mismatch	ɦiɤ11miẽ55tɕiŋ52	yieu11mien55tcin52	
