sample_id	image	label	page	row_index	syllable_index	source_split	quality	tone_position	tone_policy	wupin_base	ipa_base	selected_tone	upper_tone	lower_tone
p123_0000_s00	images/p123_0000_s00.png	1	123	0	0	train	weak_match	both_upper_lower	visual_segment_selected_as_lower	yoeq	ɦiøʔ	1		1
p123_0000_s01	images/p123_0000_s01.png	1	123	0	1	train	weak_match	both_upper_lower	visual_segment_selected_as_lower	lian	liaŋ	55		55
p123_0001_s00	images/p123_0001_s00.png	0	123	1	0	train	matched	both_upper_lower	visual_segment_single_tone__lower_null	yoeq	ɦiøʔ	1	1	
p123_0001_s01	images/p123_0001_s01.png	1	123	1	1	train	matched	both_upper_lower	visual_segment_selected_as_lower	lian	liaŋ	55		55
p123_0001_s02	images/p123_0001_s02.png	1	123	1	2	train	matched	both_upper_lower	visual_segment_selected_as_lower	bo	bɒ	55		55
p123_0001_s03	images/p123_0001_s03.png	1	123	1	3	train	matched	both_upper_lower	visual_segment_selected_as_lower	bo	bɒ	52		52
p123_0002_s00	images/p123_0002_s00.png	0	123	2	0	train	matched	upper_only	visual_segment_single_tone__lower_null	ngo	ŋɒ	11	11	
p123_0002_s01	images/p123_0002_s01.png	0	123	2	1	train	matched	upper_only	visual_segment_single_tone__lower_null	mi	mi	55	55	
p123_0002_s02	images/p123_0002_s02.png	0	123	2	2	train	matched	upper_only	visual_segment_single_tone__lower_null	yoeq	ɦiøʔ	54	54	
p123_0003_s00	images/p123_0003_s00.png	1	123	3	0	train	matched	both_upper_lower	visual_segment_selected_as_lower	yoeq	ɦiøʔ	1		1
p123_0003_s01	images/p123_0003_s01.png	1	123	3	1	train	matched	both_upper_lower	visual_segment_selected_as_lower	ngo	ŋɒ	52		52
p123_0004_s00	images/p123_0004_s00.png	0	123	4	0	train	matched	lower_only	visual_segment_single_tone__lower_null	yoeq	ɦiøʔ	1	1	
p123_0004_s01	images/p123_0004_s01.png	1	123	4	1	train	matched	lower_only	visual_segment_selected_as_lower	lian	liaŋ	55		55
p123_0004_s02	images/p123_0004_s02.png	0	123	4	2	train	matched	lower_only	visual_segment_single_tone__lower_null	kuaon	kuɒŋ	52	52	
p123_0005_s00	images/p123_0005_s00.png	0	123	5	0	train	matched	both_upper_lower	visual_segment_single_tone__lower_null	yoeq	ɦiøʔ	1	1	
p123_0005_s01	images/p123_0005_s01.png	0	123	5	1	train	matched	both_upper_lower	visual_segment_single_tone__lower_null	lian	liaŋ	55	55	
p123_0005_s02	images/p123_0005_s02.png	0	123	5	2	train	matched	both_upper_lower	visual_segment_single_tone__lower_null	di	di	55	55	
p123_0005_s03	images/p123_0005_s03.png	1	123	5	3	train	matched	both_upper_lower	visual_segment_selected_as_lower	gho	ɦɒ	52		52
p123_0006_s00	images/p123_0006_s00.png	1	123	6	0	train	matched	both_upper_lower	visual_segment_selected_as_lower	yoeq	ɦiøʔ	1		1
p123_0006_s01	images/p123_0006_s01.png	1	123	6	1	train	matched	both_upper_lower	visual_segment_selected_as_lower	wo	ɦɒ	55		55
p123_0007_s00	images/p123_0007_s00.png	1	123	7	0	train	weak_match	both_upper_lower	visual_segment_selected_as_lower	kaon	kɒŋ	33		33
p123_0007_s01	images/p123_0007_s01.png	1	123	7	1	train	weak_match	both_upper_lower	visual_segment_selected_as_lower	chioen	tɕʰiø̃	52		52
p123_0008_s00	images/p123_0008_s00.png	0	123	8	0	train	matched	upper_only	visual_segment_single_tone__lower_null	shin	ɕiŋ	52	52	
p123_0009_s00	images/p123_0009_s00.png	0	123	9	0	train	weak_match	upper_only	visual_segment_single_tone__lower_null	shin	ɕiŋ	33	33	
p123_0009_s01	images/p123_0009_s01.png	0	123	9	1	train	weak_match	upper_only	visual_segment_single_tone__lower_null	shieu	ɕiə	55	55	
p123_0010_s00	images/p123_0010_s00.png	0	123	10	0	train	matched	upper_only	visual_segment_single_tone__lower_null	waon	ɦɒŋ	11	11	
p123_0010_s01	images/p123_0010_s01.png	0	123	10	1	train	matched	upper_only	visual_segment_single_tone__lower_null	huen	huẽ	55	55	
p123_0010_s02	images/p123_0010_s02.png	0	123	10	2	train	matched	upper_only	visual_segment_single_tone__lower_null	shiau	ɕiɤ	52	52	
p123_0011_s00	images/p123_0011_s00.png	0	123	11	0	train	matched	both_upper_lower	visual_segment_single_tone__lower_null	huaon	huɒŋ	33	33	
p123_0011_s01	images/p123_0011_s01.png	1	123	11	1	train	matched	both_upper_lower	visual_segment_selected_as_lower	huen	huẽ	55		55
p123_0011_s02	images/p123_0011_s02.png	0	123	11	2	train	matched	both_upper_lower	visual_segment_single_tone__lower_null	shin	ɕiŋ	52	52	
p123_0012_s00	images/p123_0012_s00.png	1	123	12	0	train	matched	both_upper_lower	visual_segment_selected_as_lower	ng	ŋ	115		115
p123_0012_s01	images/p123_0012_s01.png	1	123	12	1	train	matched	both_upper_lower	visual_segment_selected_as_lower	kan	kaŋ	55		55
p123_0012_s02	images/p123_0012_s02.png	1	123	12	2	train	matched	both_upper_lower	visual_segment_selected_as_lower	shiau	ɕiɤ	52		52
p123_0014_s00	images/p123_0014_s00.png	0	123	14	0	train	matched	no_detected_tone_digits	visual_segment_single_tone__lower_null	gnieu	ȵiə	11	11	
p123_0014_s01	images/p123_0014_s01.png	0	123	14	1	train	matched	no_detected_tone_digits	visual_segment_single_tone__lower_null	laon	lɒŋ	55	55	
