page	row_index	hanzi	wupin	ipa_digits	match_score	candidate_headword	image	pdf_text
123	13	扁担星	pien335taen55shin52	piẽ335tæ̃55ɕiŋ52	0.3333	扁抇斥	review/images/page_123_0013.png	扁抇斥p酰顽如1)51 牛郎早匕
123	17	扫帚星	sau33tseu33shin33	sɤ33tsə33ɕiŋ33	0.3333	扫帝兄	review/images/page_123_0017.png	扫帝兄S033 ts对齿iJJfiM 早。
124	10	鱼厣云	yu11ieen55yoen52	ɦy11iẽ55ɦiø̃52	0.3333	鱼肪互	review/images/page_124_0010.png	鱼肪互IJ和i础fii础鱼鳞么o
124	20	鲎	heu33	hə33	0.0	的拟入称呼	review/images/page_124_0020.png	的拟入称呼。
124	26	时雨	zy11yu55	zɿ11ɦy55	0.0	拟	review/images/page_124_0026.png	赶狗阵k砂k咄dz拟持续时1讨短的雷阵雨。
125	5	雾露	wu11lu11	ɦu11lu11	0.0	劣森	review/images/page_125_0005.png	劣森fiu 11 lu 11~妇
125	8	霜	saon52	sɒŋ52	0.0	和	review/images/page_125_0008.png	'和 I -. SOI)<2 
125	12	雪	shiq45	ɕiʔ45	0.0	飞	review/images/page_125_0012.png	飞~ie?45
125	14	雪石子	shiq3zaq5tsy52	ɕiʔ3zaʔ5tsɿ52	0.3333	雪仁千	review/images/page_125_0014.png	雪仁千郊ie'汴za背ts裕
125	15	雹子	boq1tsy55	boʔ1tsɿ55	0.0	役	review/images/page_125_0015.png	役+ bo? 汽s儒
125	21	阴叆天	in33a55thien52	iŋ33a55tʰiẽ52	0.3333	阴嗳夭	review/images/page_125_0021.png	阴嗳夭il)甘a摒~tbi守眙而多云的天气(
126	0	黄沙天	waon11so55thien52	ɦɒŋ11sɒ55tʰiẽ52	0.3333	如少天	review/images/page_126_0000.png	如少天fiUOI)铲so~fr11 i铲扬沙大／心
126	1	霉𪑳天	me11tseon55thien52	mᴇ11tsəŋ55tʰiẽ52	0.0	山疻大	review/images/page_126_0001.png	，山疻大mE和tS;;Jl)贮t'、1护拒员衔时节衣物潮湿易长霉咄的天气
126	2	返潮天	faen335dzau55thien52	fæ̃335dzɤ55tʰiẽ52	0.3333	返剖人	review/images/page_126_0002.png	返剖人t、元335dzo沪thie52指从构时节石敏渗水、墙壁发雷的天I (, 
126	4	夏邋遢	gho11laeq1thaeq1	ɦɒ11læʔ1tʰæʔ1	0.0	花	review/images/page_126_0004.png	潮煞人dzo铲s泛汗t'花”
126	7	桂花𪑳	kue33huo33tseon33	kuᴇ33huɒ33tsəŋ33	0.3333	村花罚贞	review/images/page_126_0007.png	村花罚贞ku砂buo扂tSJJJrn指衣历八月籵化开放时虽巳入秋仍然rm
