sample_id	variant	source_split	wupin	ipa_digits_from_wupin	wupin_back	standalone_wupin_back	exact	standalone_exact	forward_status	backward_status
pdf001_p123_0000	original_export	train	yoeq1lian55	ɦiøʔ1liaŋ55	yoeq1lian55	yoeq1lian55	1	1	ok	ok
pdf001_p123_0001	original_export	train	yoeq1lian55bo55bo52	ɦiøʔ1liaŋ55bɒ55bɒ52	yoeq1lian55bo55bo52	yoeq1lian55bo55bo52	1	1	ok	ok
pdf001_p123_0002	original_export	train	ngo11mi55yoeq54	ŋɒ11mi55ɦiøʔ54	ngo11mi55yoeq54	ngo11mi55yoeq54	1	1	ok	ok
pdf001_p123_0003	original_export	train	yoeq1ngo52	ɦiøʔ1ŋɒ52	yoeq1ngo52	yoeq1ngo52	1	1	ok	ok
pdf001_p123_0004	original_export	train	yoeq1lian55kuaon52	ɦiøʔ1liaŋ55kuɒŋ52	yoeq1lian55kuaon52	yoeq1lian55kuaon52	1	1	ok	ok
pdf001_p123_0005	original_export	train	yoeq1lian55di55gho52	ɦiøʔ1liaŋ55di55ɦɒ52	yoeq1lian55di55gho52	yoeq1lian55di55gho52	1	1	ok	ok
pdf001_p123_0006	original_export	train	yoeq1wo55	ɦiøʔ1ɦuɒ55	yoeq1wo55	yoeq1wo55	1	1	ok	ok
pdf001_p123_0007	original_export	train	kaon33chioen52	kɒŋ33tɕʰiø̃52	kaon33chioen52	kaon33chioen52	1	1	ok	ok
pdf001_p123_0008	original_export	train	shin52	ɕiŋ52	shin52	shin52	1	1	ok	ok
pdf001_p123_0009	original_export	train	shin33shieu55	ɕiŋ33ɕiə55	shin33shieu55	shin33shieu55	1	1	ok	ok
pdf001_p123_0010	original_export	train	waon11huen55shiau52	ɦuɒŋ11huẽ55ɕiɤ52	waon11huen55shiau52	waon11huen55shiau52	1	1	ok	ok
pdf001_p123_0011	original_export	train	huaon33huen55shin52	huɒŋ33huẽ55ɕiŋ52	huaon33huen55shin52	huaon33huen55shin52	1	1	ok	ok
pdf001_p123_0012	original_export	train	ng115kan55shiau52	ŋ115kaŋ55ɕiɤ52	ng115kan55shiau52	ng115kan55shiau52	1	1	ok	ok
pdf001_p123_0013	original_export	train	pien335taen55shin52	piẽ335tæ̃55ɕiŋ52	pien335taen55shin52	pien335taen55shin52	1	1	ok	ok
pdf001_p123_0014	original_export	train	gnieu11laon55shin52	ȵiə11lɒŋ55ɕiŋ52	gnieu11laon55shin52	gnieu11laon55shin52	1	1	ok	ok
pdf001_p123_0015	original_export	train	faon335so55shin52	fɒŋ335sɒ55ɕiŋ52	faon335so55shin52	faon335so55shin52	1	1	ok	ok
pdf001_p123_0016	original_export	train	chiq3tshoq5shin52	tɕʰiʔ3tsʰoʔ5ɕiŋ52	chiq3tshoq5shin52	chiq3tshoq5shin52	1	1	ok	ok
pdf001_p123_0017	original_export	train	sau33tseu33shin33	sɤ33tsə33ɕiŋ33	sau33tseu33shin33	sau33tseu33shin33	1	1	ok	ok
pdf001_p123_0018	original_export	train	zo11shin11	zɒ11ɕiŋ11	zo11shin11	zo11shin11	1	1	ok	ok
pdf001_p123_0019	original_export	train	thien33gho52	tʰiẽ33ɦɒ52	thien33gho52	thien33gho52	1	1	ok	ok
pdf001_p123_0020	original_export	train	fon52	foŋ52	fon52	fon52	1	1	ok	ok
pdf001_p123_0021	original_export	train	do11fon11	dɒ11foŋ11	do11fon11	do11fon11	1	1	ok	ok
pdf001_p123_0022	original_export	train	pau33fon33	pɤ33foŋ33	pau33fon33	pau33fon33	1	1	ok	ok
pdf001_p123_0023	original_export	train	fon33pau55	foŋ33pɤ55	fon33pau55	fon33pau55	1	1	ok	ok
pdf001_p123_0024	original_export	train	de11fon52	dᴇ11foŋ52	de11fon52	de11fon52	1	1	ok	ok
pdf001_p123_0025	original_export	train	u33fon55man55pau52	u33foŋ55maŋ55pɤ52	u33fon55man55pau52	u33fon55man55pau52	1	1	ok	ok
pdf002_p124_0000	original_export	train	lon11fon52	loŋ11foŋ52	lon11fon52	lon11fon52	1	1	ok	ok
pdf002_p124_0001	original_export	train	ciu335tseq5deu55fon52	tɕy335tsᴇʔ5də55foŋ52	ciu335tseq5deu55fon52	ciu335tseq5deu55fon52	1	1	ok	ok
pdf002_p124_0002	original_export	train	zeen11fon11	zẽ11foŋ11	zeen11fon11	zeen11fon11	1	1	ok	ok
pdf002_p124_0003	original_export	train	tin335deu55fon52	tiŋ335də55foŋ52	tin335deu55fon52	tin335deu55fon52	1	1	ok	ok
pdf002_p124_0004	original_export	train	teu335fon52	tə335foŋ52	teu335fon52	teu335fon52	1	1	ok	ok
pdf002_p124_0005	original_export	train	teu335deu55fon52	tə335də55foŋ52	teu335deu55fon52	teu335deu55fon52	1	1	ok	ok
pdf002_p124_0006	original_export	train	tsheen33daon55fon52	tsʰẽ33dɒŋ55foŋ52	tsheen33daon55fon52	tsheen33daon55fon52	1	1	ok	ok
pdf002_p124_0007	original_export	train	yoen231	ɦiø̃231	yoen231	yoen231	1	1	ok	ok
pdf002_p124_0008	original_export	train	yoen11deu52	ɦiø̃11də52	yoen11deu52	yoen11deu52	1	1	ok	ok
pdf002_p124_0009	original_export	train	u33yoen52	u33ɦiø̃52	u33yoen52	u33yoen52	1	1	ok	ok
pdf002_p124_0010	original_export	train	yu11ieen55yoen52	ɦy11iẽ55ɦiø̃52	yu11ieen55yoen52	yu11ieen55yoen52	1	1	ok	ok
pdf002_p124_0011	original_export	train	ngo115baen55yoen52	ŋɒ115bæ̃55ɦiø̃52	ngo115baen55yoen52	ngo115baen55yoen52	1	1	ok	ok
pdf002_p124_0012	original_export	train	hu335sau55yoen52	hu335sɤ55ɦiø̃52	hu335sau55yoen52	hu335sau55yoen52	1	1	ok	ok
pdf002_p124_0013	original_export	train	do11le11	dɒ11lᴇ11	do11le11	do11le11	1	1	ok	ok
pdf002_p124_0014	original_export	train	do11lo11kuon11kuon11	dɒ11lɒ11kuoŋ11kuoŋ11	do11lo11kuon11kuon11	do11lo11kuon11kuon11	1	1	ok	ok
pdf002_p124_0015	original_export	train	phiq3liq5le52	pʰiʔ3liʔ5lᴇ52	phiq3liq5le52	phiq3liq5le52	1	1	ok	ok
pdf002_p124_0016	original_export	train	dzeen11le11	dzẽ11lᴇ11	dzeen11le11	dzeen11le11	1	1	ok	ok
pdf002_p124_0017	original_export	train	shian335le52	ɕiaŋ335lᴇ52	shian335le52	shian335le52	1	1	ok	ok
pdf002_p124_0018	original_export	train	huoq3seen55	huoʔ3sẽ55	huoq3seen55	huoq3seen55	1	1	ok	ok
pdf002_p124_0019	original_export	train	huoq3seen55gnian55gnian52	huoʔ3sẽ55ȵiaŋ55ȵiaŋ52	huoq3seen55gnian55gnian52	huoq3seen55gnian55gnian52	1	1	ok	ok
pdf002_p124_0020	original_export	train	heu33	hə33	heu33	heu33	1	1	ok	ok
pdf002_p124_0021	original_export	train	yu113	ɦy113	yu113	yu113	1	1	ok	ok
pdf002_p124_0022	original_export	train	do11yu11	dɒ11ɦy11	do11yu11	do11yu11	1	1	ok	ok
pdf002_p124_0023	original_export	train	nge11do55yu52	ŋᴇ11dɒ55ɦy52	nge11do55yu52	nge11do55yu52	1	1	ok	ok
pdf002_p124_0024	original_export	train	dzeen11deu11	dzẽ11də11	dzeen11deu11	dzeen11deu11	1	1	ok	ok
pdf002_p124_0025	original_export	train	keen335keu55dzeen52	kẽ335kə55dzẽ52	keen335keu55dzeen52	keen335keu55dzeen52	1	1	ok	ok
pdf003_p125_0000	original_export	train	mau11sau55yu52	mɤ11sɤ55ɦy52	mau11sau55yu52	mau11sau55yu52	1	1	ok	ok
pdf003_p125_0001	original_export	train	mo11se55yu52	mɒ11sᴇ55ɦy52	mo11se55yu52	mo11se55yu52	1	1	ok	ok
pdf003_p125_0002	original_export	train	yu115mau55sy52	ɦy115mɤ55sy52	yu115mau55sy52	yu115mau55sy52	1	1	ok	ok
pdf003_p125_0003	original_export	train	yu115tien52	ɦy115tiẽ52	yu115tien52	yu115tien52	1	1	ok	ok
pdf003_p125_0004	original_export	train	yu115ciaq54	ɦy115tɕiaʔ54	yu115ciaq54	yu115ciaq54	1	1	ok	ok
pdf003_p125_0005	original_export	train	wu11lu11	ɦu11lu11	wu11lu11	wu11lu11	1	1	ok	ok
pdf003_p125_0006	original_export	train	wu11chi11	ɦu11tɕʰi11	wu11chi11	wu11chi11	1	1	ok	ok
