row_id	page	row_index	hanzi	wupin	image	quality	tone_position	syllable_index	wupin_base	wupin_initial	wupin_final	ipa_base	selected_tone	upper_tone	lower_tone	tone_policy	ipa_selected	conversion_error
p123_0000	123	0	月亮	yoeq1lian55	review/images/page_123_0000.png	weak_match	both_upper_lower	0	yoeq		yoeq	ɦiøʔ	1		1	visual_segment_selected_as_lower	ɦiøʔ1	
p123_0000	123	0	月亮	yoeq1lian55	review/images/page_123_0000.png	weak_match	both_upper_lower	1	lian	l	ian	liaŋ	55		55	visual_segment_selected_as_lower	liaŋ55	
p123_0001	123	1	月亮婆婆	yoeq1lian55bo55bo52	train/images/page_123_0001.png	matched	both_upper_lower	0	yoeq		yoeq	ɦiøʔ	1	1		visual_segment_single_tone__lower_null	ɦiøʔ1	
p123_0001	123	1	月亮婆婆	yoeq1lian55bo55bo52	train/images/page_123_0001.png	matched	both_upper_lower	1	lian	l	ian	liaŋ	55		55	visual_segment_selected_as_lower	liaŋ55	
p123_0001	123	1	月亮婆婆	yoeq1lian55bo55bo52	train/images/page_123_0001.png	matched	both_upper_lower	2	bo	b	o	bɒ	55		55	visual_segment_selected_as_lower	bɒ55	
p123_0001	123	1	月亮婆婆	yoeq1lian55bo55bo52	train/images/page_123_0001.png	matched	both_upper_lower	3	bo	b	o	bɒ	52		52	visual_segment_selected_as_lower	bɒ52	
p123_0002	123	2	蛾眉月	ngo11mi55yoeq54	train/images/page_123_0002.png	matched	upper_only	0	ngo	ng	o	ŋɒ	11	11		visual_segment_single_tone__lower_null	ŋɒ11	
p123_0002	123	2	蛾眉月	ngo11mi55yoeq54	train/images/page_123_0002.png	matched	upper_only	1	mi	m	i	mi	55	55		visual_segment_single_tone__lower_null	mi55	
p123_0002	123	2	蛾眉月	ngo11mi55yoeq54	train/images/page_123_0002.png	matched	upper_only	2	yoeq		yoeq	ɦiøʔ	54	54		visual_segment_single_tone__lower_null	ɦiøʔ54	
p123_0003	123	3	月芽	yoeq1ngo52	train/images/page_123_0003.png	matched	both_upper_lower	0	yoeq		yoeq	ɦiøʔ	1		1	visual_segment_selected_as_lower	ɦiøʔ1	
p123_0003	123	3	月芽	yoeq1ngo52	train/images/page_123_0003.png	matched	both_upper_lower	1	ngo	ng	o	ŋɒ	52		52	visual_segment_selected_as_lower	ŋɒ52	
p123_0004	123	4	月亮光	yoeq1lian55kuaon52	train/images/page_123_0004.png	matched	lower_only	0	yoeq		yoeq	ɦiøʔ	1	1		visual_segment_single_tone__lower_null	ɦiøʔ1	
p123_0004	123	4	月亮光	yoeq1lian55kuaon52	train/images/page_123_0004.png	matched	lower_only	1	lian	l	ian	liaŋ	55		55	visual_segment_selected_as_lower	liaŋ55	
p123_0004	123	4	月亮光	yoeq1lian55kuaon52	train/images/page_123_0004.png	matched	lower_only	2	kuaon	k	uaon	kuɒŋ	52	52		visual_segment_single_tone__lower_null	kuɒŋ52	
p123_0005	123	5	月亮地下	yoeq1lian55di55gho52	train/images/page_123_0005.png	matched	both_upper_lower	0	yoeq		yoeq	ɦiøʔ	1	1		visual_segment_single_tone__lower_null	ɦiøʔ1	
p123_0005	123	5	月亮地下	yoeq1lian55di55gho52	train/images/page_123_0005.png	matched	both_upper_lower	1	lian	l	ian	liaŋ	55	55		visual_segment_single_tone__lower_null	liaŋ55	
p123_0005	123	5	月亮地下	yoeq1lian55di55gho52	train/images/page_123_0005.png	matched	both_upper_lower	2	di	d	i	di	55	55		visual_segment_single_tone__lower_null	di55	
p123_0005	123	5	月亮地下	yoeq1lian55di55gho52	train/images/page_123_0005.png	matched	both_upper_lower	3	gho	gh	o	ɦɒ	52		52	visual_segment_selected_as_lower	ɦɒ52	
p123_0006	123	6	月华	yoeq1wo55	train/images/page_123_0006.png	matched	both_upper_lower	0	yoeq		yoeq	ɦiøʔ	1		1	visual_segment_selected_as_lower	ɦiøʔ1	
p123_0006	123	6	月华	yoeq1wo55	train/images/page_123_0006.png	matched	both_upper_lower	1	wo	w	o	ɦɒ	55		55	visual_segment_selected_as_lower	ɦɒ55	
p123_0007	123	7	刚圈	kaon33chioen52	review/images/page_123_0007.png	weak_match	both_upper_lower	0	kaon	k	aon	kɒŋ	33		33	visual_segment_selected_as_lower	kɒŋ33	
p123_0007	123	7	刚圈	kaon33chioen52	review/images/page_123_0007.png	weak_match	both_upper_lower	1	chioen	ch	ioen	tɕʰiø̃	52		52	visual_segment_selected_as_lower	tɕʰiø̃52	
p123_0008	123	8	星	shin52	train/images/page_123_0008.png	matched	upper_only	0	shin	sh	in	ɕiŋ	52	52		visual_segment_single_tone__lower_null	ɕiŋ52	
p123_0009	123	9	星宿	shin33shieu55	review/images/page_123_0009.png	weak_match	upper_only	0	shin	sh	in	ɕiŋ	33	33		visual_segment_single_tone__lower_null	ɕiŋ33	
